Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,user-definedlabeln
57.00,57.00,84.00,276346.00,10235.00,3729.00,4277.00,11462.00,10718.00,3519.00,1369.00,1
57.00,61.00,-38.00,954237.00,104706.00,85620.00,16960.00,41829.00,30912.00,82853.00,24707.00,1
61.00,74.00,33.00,458519.00,6869.00,1475.00,19388.00,10522.00,9295.00,5051.00,4987.00,1
66.00,63.00,-74.00,331824.00,56589.00,4705.00,15298.00,26361.00,23212.00,12327.00,4995.00,1
53.00,69.00,103.00,614483.00,132021.00,42789.00,49881.00,34643.00,28977.00,19067.00,21086.00,1
56.00,66.00,-25.00,775495.00,109467.00,56108.00,10962.00,10541.00,38384.00,20217.00,8326.00,1
53.00,60.00,59.00,521186.00,256000.00,119940.00,25333.00,44827.00,106236.00,69375.00,35749.00,1
44.00,57.00,148.00,267524.00,341793.00,36204.00,20217.00,27945.00,48034.00,33874.00,18213.00,1
47.00,50.00,150.00,607486.00,580457.00,96042.00,27600.00,30794.00,108366.00,36282.00,11915.00,1
63.00,47.00,140.00,373095.00,30901.00,28269.00,21038.00,17949.00,112261.00,73265.00,11028.00,1
53.00,51.00,25.00,307985.00,8747.00,6416.00,2508.00,2916.00,1487.00,2789.00,2909.00,1
54.00,57.00,-6.00,1402862.00,54725.00,1920.00,19327.00,7149.00,11367.00,30303.00,3769.00,1
56.00,69.00,13.00,317402.00,61957.00,69160.00,17657.00,36534.00,27393.00,70578.00,6240.00,1
34.00,69.00,72.00,1616326.00,302720.00,31402.00,91948.00,67674.00,50768.00,43772.00,30642.00,1
38.00,56.00,3.00,1175382.00,58708.00,11519.00,1656.00,7594.00,9408.00,23026.00,7952.00,1
38.00,60.00,-94.00,360184.00,224520.00,47677.00,81076.00,21971.00,52827.00,29442.00,41282.00,1
38.00,51.00,116.00,598258.00,57377.00,5344.00,11804.00,6207.00,14368.00,10925.00,5113.00,1
48.00,51.00,48.00,549453.00,51953.00,16352.00,23712.00,32285.00,28744.00,38355.00,8389.00,1
48.00,53.00,55.00,80266.00,9265.00,1709.00,1328.00,1422.00,1877.00,1799.00,688.00,1
41.00,51.00,4.00,252133.00,133048.00,23953.00,34525.00,28158.00,13851.00,23614.00,9008.00,1
51.00,47.00,29.00,15831.00,67143.00,12999.00,4129.00,11209.00,46803.00,34928.00,12793.00,1
53.00,47.00,22.00,312566.00,96522.00,6582.00,59081.00,40151.00,56258.00,29387.00,9319.00,1
61.00,51.00,-3.00,253613.00,61890.00,25406.00,32395.00,21099.00,50504.00,42349.00,25197.00,1
66.00,41.00,53.00,535618.00,165093.00,1163.00,23931.00,25952.00,24230.00,47183.00,21174.00,1
47.00,27.00,50.00,231002.00,200732.00,5391.00,1460.00,6965.00,12239.00,4680.00,5718.00,1
51.00,27.00,195.00,499908.00,42130.00,36219.00,69304.00,139036.00,90707.00,32076.00,8032.00,1
43.00,27.00,55.00,251771.00,18081.00,5946.00,5435.00,1848.00,5182.00,14758.00,6987.00,1
48.00,35.00,57.00,844376.00,130031.00,7796.00,36809.00,9620.00,38670.00,38435.00,17166.00,1
60.00,54.00,-6.00,55394.00,93813.00,16215.00,19934.00,15376.00,27535.00,59064.00,11195.00,1
69.00,41.00,43.00,98828.00,35851.00,1396.00,7299.00,8253.00,64517.00,25540.00,10889.00,1
44.00,69.00,-1.00,118962.00,35777.00,3854.00,44394.00,12730.00,39718.00,28853.00,65465.00,1
47.00,63.00,100.00,61533.00,17993.00,4553.00,1018.00,1734.00,6011.00,5462.00,1459.00,1
43.00,64.00,55.00,1135427.00,402497.00,46213.00,76037.00,7967.00,45682.00,38238.00,25079.00,1
54.00,43.00,90.00,235695.00,102525.00,1456.00,5736.00,11505.00,45863.00,17231.00,5416.00,1
43.00,34.00,-35.00,2848708.00,397971.00,52378.00,37023.00,13967.00,58623.00,18218.00,23637.00,1
35.00,38.00,-137.00,186107.00,78223.00,14794.00,19118.00,7364.00,8734.00,17257.00,2243.00,1
50.00,48.00,-41.00,2036643.00,25755.00,30760.00,57265.00,15675.00,61367.00,45355.00,16413.00,1
38.00,63.00,-9.00,710161.00,64002.00,10121.00,6293.00,2594.00,9079.00,7112.00,3115.00,1
44.00,77.00,-25.00,168730.00,54384.00,60865.00,9487.00,10014.00,32975.00,41092.00,26739.00,1
51.00,61.00,-102.00,1985144.00,283779.00,19638.00,10006.00,26001.00,53028.00,79585.00,27534.00,1
41.00,54.00,37.00,904196.00,152170.00,49441.00,27502.00,24169.00,36155.00,25897.00,33050.00,1
54.00,53.00,99.00,247297.00,8311.00,548.00,2581.00,1209.00,6683.00,3116.00,694.00,1
53.00,41.00,-94.00,1008129.00,198877.00,56904.00,6000.00,70149.00,54151.00,50272.00,14868.00,1
56.00,66.00,80.00,823893.00,56692.00,84799.00,81839.00,24657.00,55922.00,108752.00,11066.00,1
57.00,61.00,93.00,464677.00,309655.00,55752.00,27689.00,28579.00,71154.00,59606.00,22083.00,1
57.00,67.00,-35.00,133515.00,5862.00,2644.00,4596.00,2226.00,7801.00,3009.00,1963.00,1
54.00,63.00,36.00,867617.00,55330.00,6407.00,2651.00,5406.00,10693.00,11959.00,4558.00,1
51.00,47.00,-50.00,929900.00,196222.00,21439.00,27380.00,23135.00,42362.00,57754.00,23349.00,1
40.00,35.00,36.00,1153360.00,783611.00,19839.00,28429.00,11677.00,43852.00,35930.00,12006.00,1
35.00,26.00,23.00,127002.00,45875.00,9664.00,5093.00,5377.00,23225.00,14620.00,3549.00,1
37.00,23.00,53.00,275129.00,89135.00,5426.00,4018.00,5094.00,19297.00,13051.00,10614.00,1
43.00,26.00,-39.00,2978240.00,159306.00,13208.00,69666.00,83776.00,97325.00,42019.00,24091.00,1
64.00,43.00,-18.00,451504.00,23250.00,24578.00,5742.00,21600.00,40009.00,27635.00,20450.00,1
56.00,53.00,12.00,494782.00,28798.00,10638.00,15415.00,5385.00,7446.00,7100.00,6161.00,1
63.00,74.00,-183.00,339338.00,13943.00,23612.00,33809.00,21081.00,32428.00,29989.00,19847.00,1
53.00,69.00,86.00,486083.00,109325.00,13794.00,7217.00,11184.00,13724.00,20912.00,6631.00,1
38.00,61.00,16.00,549681.00,106439.00,11864.00,12461.00,16751.00,15600.00,3735.00,3074.00,1
41.00,56.00,145.00,250803.00,48691.00,18692.00,6849.00,8448.00,14602.00,11462.00,2891.00,1
27.00,56.00,-45.00,614219.00,138140.00,75529.00,56130.00,18700.00,30047.00,43125.00,24833.00,1
35.00,61.00,-83.00,204178.00,173732.00,32735.00,30539.00,20264.00,54879.00,49731.00,14410.00,1
44.00,64.00,92.00,907536.00,40438.00,9688.00,11143.00,18222.00,22399.00,41016.00,14989.00,1
43.00,69.00,-257.00,336364.00,29034.00,16584.00,11372.00,8153.00,8786.00,20042.00,7199.00,1
48.00,56.00,-58.00,719432.00,136470.00,22849.00,13215.00,57671.00,34328.00,53757.00,11839.00,1
44.00,51.00,35.00,517832.00,190650.00,30935.00,12342.00,40893.00,31471.00,40762.00,16228.00,1
35.00,56.00,-73.00,302262.00,121967.00,37910.00,31596.00,31155.00,19799.00,20715.00,8264.00,1
41.00,53.00,-259.00,399229.00,32563.00,22532.00,18068.00,33816.00,27360.00,64254.00,11871.00,1
41.00,51.00,71.00,1125317.00,56245.00,7020.00,4754.00,2520.00,16104.00,10095.00,3206.00,1
60.00,56.00,23.00,33816.00,17018.00,14135.00,16409.00,37769.00,53065.00,35900.00,20032.00,1
56.00,51.00,-27.00,508249.00,269159.00,37315.00,28960.00,18574.00,26581.00,59641.00,20191.00,1
43.00,35.00,54.00,892327.00,416229.00,3477.00,32801.00,36956.00,31725.00,55862.00,37080.00,1
47.00,37.00,-52.00,205572.00,135638.00,21886.00,11576.00,21233.00,62306.00,28077.00,7053.00,1
54.00,30.00,109.00,68627.00,4262.00,5972.00,1642.00,7030.00,33920.00,7152.00,4154.00,1
69.00,27.00,-5.00,195743.00,49887.00,3545.00,11521.00,15718.00,27501.00,23656.00,11028.00,1
78.00,37.00,20.00,1209174.00,98934.00,5631.00,22231.00,38215.00,25216.00,32276.00,20822.00,1
88.00,44.00,60.00,859875.00,16968.00,5844.00,41536.00,14326.00,98470.00,64480.00,7961.00,1
61.00,40.00,99.00,586117.00,133890.00,13188.00,4979.00,18809.00,15609.00,7872.00,4889.00,1
43.00,41.00,-73.00,197289.00,106762.00,16193.00,4838.00,5375.00,6240.00,14106.00,3827.00,1
37.00,43.00,180.00,531940.00,214509.00,29704.00,34244.00,26763.00,27275.00,34793.00,23184.00,1
16.00,40.00,-18.00,2068566.00,249309.00,21132.00,66093.00,33639.00,47601.00,44163.00,23036.00,1
26.00,54.00,54.00,1091641.00,132564.00,53565.00,48846.00,22596.00,65852.00,48594.00,16303.00,1
37.00,64.00,17.00,1648631.00,82781.00,49654.00,22537.00,30366.00,26724.00,28701.00,22544.00,1
44.00,57.00,-39.00,355514.00,102255.00,12718.00,4498.00,21497.00,27249.00,55385.00,21870.00,1
50.00,47.00,37.00,265331.00,53495.00,3665.00,1609.00,4430.00,14688.00,6484.00,3523.00,1
51.00,44.00,-5.00,276560.00,53874.00,24715.00,18677.00,24365.00,33381.00,58634.00,10911.00,1
54.00,53.00,-43.00,37179.00,24734.00,43774.00,52746.00,15269.00,32067.00,40418.00,8638.00,1
54.00,54.00,23.00,198256.00,82231.00,2868.00,13736.00,22988.00,20680.00,65196.00,18855.00,1
64.00,69.00,28.00,36671.00,20572.00,19434.00,12357.00,24980.00,45093.00,45952.00,10927.00,1
77.00,56.00,-59.00,2051263.00,31205.00,2407.00,8046.00,16344.00,61692.00,52680.00,15954.00,1
60.00,43.00,-25.00,297260.00,115707.00,37905.00,2217.00,5812.00,6253.00,8406.00,3767.00,1
70.00,40.00,22.00,917135.00,68137.00,11830.00,4362.00,23570.00,67568.00,39001.00,21761.00,1
43.00,17.00,-42.00,483189.00,961497.00,14292.00,20529.00,35208.00,30537.00,19715.00,7400.00,1
29.00,27.00,86.00,442249.00,236418.00,54379.00,57179.00,28425.00,107718.00,121884.00,23108.00,1
51.00,16.00,-50.00,876316.00,238990.00,36845.00,3424.00,72128.00,135942.00,164217.00,45182.00,1
37.00,23.00,-237.00,597515.00,166776.00,34563.00,7742.00,18597.00,30397.00,46264.00,13178.00,1
50.00,47.00,-86.00,728149.00,94283.00,37360.00,13239.00,14218.00,20340.00,38118.00,6166.00,1
37.00,26.00,-34.00,426515.00,271559.00,5892.00,5864.00,11288.00,16547.00,35745.00,14395.00,1
24.00,30.00,-3.00,263737.00,138787.00,21711.00,3420.00,7554.00,24090.00,13844.00,15610.00,1
35.00,38.00,-33.00,672813.00,48948.00,18336.00,20439.00,7673.00,35331.00,23639.00,14700.00,1
27.00,26.00,75.00,1210141.00,296242.00,28873.00,9083.00,12554.00,20944.00,14283.00,8306.00,1
38.00,41.00,-226.00,98068.00,184501.00,23526.00,28584.00,21248.00,56817.00,60117.00,22192.00,1
44.00,47.00,-50.00,3107198.00,153275.00,36732.00,27890.00,36105.00,61774.00,55497.00,18134.00,1
34.00,44.00,-101.00,193180.00,563802.00,146913.00,77670.00,63878.00,83757.00,88361.00,30470.00,1
47.00,57.00,38.00,292138.00,90269.00,68571.00,13573.00,48713.00,54098.00,16629.00,7757.00,1
38.00,61.00,-26.00,79924.00,20508.00,4266.00,2703.00,4327.00,1993.00,4051.00,3185.00,1
35.00,60.00,-35.00,156033.00,36944.00,5542.00,7733.00,7332.00,11623.00,9043.00,5329.00,1
43.00,64.00,105.00,1527858.00,140602.00,57784.00,47016.00,10505.00,60716.00,103499.00,10150.00,1
41.00,51.00,83.00,410550.00,229162.00,20110.00,24134.00,27246.00,87799.00,32128.00,6944.00,1
48.00,54.00,-77.00,17735.00,15564.00,3999.00,3275.00,1871.00,3803.00,4722.00,1199.00,1
41.00,63.00,56.00,969095.00,109319.00,67826.00,9271.00,25169.00,18639.00,56071.00,13789.00,1
34.00,51.00,180.00,171415.00,98627.00,6469.00,9022.00,3342.00,9370.00,7789.00,8535.00,1
21.00,54.00,232.00,299578.00,231825.00,20258.00,29198.00,22994.00,17035.00,45472.00,25202.00,1
8.00,43.00,-156.00,362199.00,391857.00,35424.00,12624.00,25106.00,15462.00,7211.00,7682.00,1
8.00,43.00,413.00,1455843.00,522663.00,13216.00,123180.00,221211.00,103964.00,38892.00,16766.00,1
4.00,41.00,-446.00,1983382.00,877142.00,400302.00,87719.00,81564.00,83725.00,64246.00,25785.00,1
3.00,41.00,119.00,3958185.00,418117.00,14031.00,66291.00,73362.00,40369.00,48230.00,38203.00,1
11.00,50.00,49.00,1805696.00,79282.00,31640.00,17863.00,5588.00,26617.00,32915.00,7753.00,1
21.00,57.00,37.00,1415457.00,521535.00,163758.00,12784.00,107312.00,77717.00,113083.00,29509.00,1
26.00,44.00,-38.00,672789.00,330698.00,38169.00,14761.00,52043.00,46420.00,52266.00,37758.00,1
30.00,47.00,-85.00,1620852.00,249405.00,29986.00,15528.00,6730.00,38127.00,46476.00,4471.00,1
34.00,41.00,-70.00,130005.00,69985.00,7943.00,18657.00,12532.00,23965.00,10790.00,4807.00,1
38.00,44.00,91.00,110571.00,30764.00,10149.00,5009.00,1442.00,9945.00,8740.00,4736.00,1
40.00,61.00,90.00,494873.00,479917.00,325402.00,74934.00,36042.00,138618.00,88766.00,41779.00,1
47.00,66.00,106.00,2727720.00,418146.00,97108.00,87890.00,81053.00,145414.00,39038.00,53480.00,1
43.00,60.00,117.00,1565518.00,207750.00,14342.00,20622.00,30150.00,40257.00,25684.00,14718.00,1
38.00,60.00,6.00,1165858.00,124675.00,38490.00,13635.00,8588.00,22495.00,25010.00,9829.00,1
38.00,56.00,-26.00,329519.00,216166.00,112655.00,26014.00,54211.00,54513.00,34233.00,66255.00,1
35.00,50.00,171.00,1240023.00,55210.00,413.00,12212.00,16591.00,10671.00,11986.00,6260.00,1
34.00,44.00,21.00,333081.00,135761.00,3688.00,8350.00,3184.00,19456.00,14242.00,4684.00,1
41.00,48.00,-12.00,462407.00,137410.00,53466.00,56898.00,28435.00,74815.00,43211.00,19324.00,1
40.00,37.00,138.00,704582.00,368860.00,29763.00,28663.00,11687.00,59411.00,78722.00,7711.00,1
35.00,37.00,-22.00,548809.00,379837.00,22643.00,49380.00,33399.00,35429.00,38401.00,35489.00,1
37.00,48.00,71.00,39565.00,23315.00,4450.00,3213.00,3810.00,4556.00,2861.00,1351.00,1
35.00,50.00,105.00,294779.00,36988.00,27042.00,5534.00,3399.00,19820.00,21698.00,8006.00,1
35.00,75.00,-8.00,661881.00,8198.00,31029.00,31595.00,4886.00,9155.00,15915.00,5455.00,1
44.00,69.00,-9.00,828933.00,91298.00,3243.00,11801.00,12468.00,26318.00,28450.00,6356.00,1
56.00,77.00,-24.00,265867.00,33318.00,25935.00,25461.00,12364.00,49055.00,64887.00,20595.00,1
48.00,53.00,9.00,762383.00,347390.00,1521.00,21791.00,22832.00,36927.00,73813.00,24019.00,1
57.00,48.00,113.00,19343.00,7747.00,54208.00,30936.00,7017.00,36868.00,24511.00,14666.00,1
50.00,47.00,-107.00,143668.00,19422.00,1310.00,648.00,3914.00,2297.00,5701.00,1028.00,1
43.00,37.00,119.00,544260.00,163218.00,23952.00,19120.00,4693.00,45154.00,142868.00,27578.00,1
44.00,48.00,-6.00,396174.00,255427.00,17809.00,48237.00,42781.00,41990.00,50784.00,27533.00,1
30.00,38.00,-10.00,514500.00,260568.00,143456.00,54778.00,63282.00,38293.00,22303.00,7585.00,1
47.00,47.00,11.00,2169745.00,113364.00,33219.00,12535.00,16036.00,98104.00,44332.00,19542.00,1
47.00,41.00,74.00,942896.00,49883.00,5763.00,3449.00,11631.00,15273.00,26583.00,8277.00,1
53.00,37.00,-2.00,395636.00,56715.00,2287.00,6435.00,4513.00,18055.00,10655.00,4860.00,1
63.00,20.00,-122.00,752967.00,69128.00,3111.00,4855.00,5496.00,21499.00,8334.00,5723.00,1
60.00,24.00,224.00,1099000.00,30828.00,16492.00,1822.00,4095.00,17303.00,10662.00,4887.00,1
51.00,27.00,91.00,235474.00,35439.00,4362.00,1824.00,1926.00,3961.00,3172.00,1090.00,1
44.00,23.00,9.00,447050.00,54271.00,2402.00,3068.00,5509.00,7826.00,8603.00,7883.00,1
48.00,37.00,307.00,312746.00,26790.00,16669.00,1120.00,7196.00,15786.00,6624.00,3462.00,1
43.00,23.00,105.00,197037.00,23819.00,1432.00,1227.00,818.00,4976.00,2018.00,524.00,1
60.00,8.00,103.00,612651.00,118931.00,620.00,3429.00,10031.00,83946.00,23066.00,38463.00,1
69.00,20.00,-7.00,971265.00,143008.00,40532.00,27792.00,48327.00,98324.00,23788.00,22025.00,1
70.00,24.00,20.00,420608.00,37299.00,18350.00,29600.00,6161.00,37871.00,11972.00,14008.00,1
66.00,30.00,76.00,513617.00,137338.00,19647.00,8295.00,12701.00,16461.00,17502.00,3396.00,1
50.00,57.00,5.00,33210.00,16530.00,6343.00,4318.00,4254.00,2707.00,4737.00,864.00,1
48.00,56.00,-181.00,173226.00,110828.00,19384.00,31827.00,65372.00,59960.00,25012.00,23588.00,1
38.00,51.00,-83.00,1860328.00,83733.00,20991.00,12789.00,8268.00,18713.00,9624.00,4920.00,1
35.00,54.00,0.00,994099.00,520626.00,98266.00,67252.00,27468.00,50486.00,91881.00,20062.00,1
40.00,50.00,-9.00,104444.00,69947.00,9242.00,14198.00,1772.00,14864.00,8637.00,2408.00,1
20.00,51.00,-87.00,105758.00,47298.00,10248.00,2547.00,1763.00,2190.00,2608.00,617.00,1
17.00,44.00,65.00,1093038.00,79549.00,7390.00,6296.00,9368.00,12249.00,7338.00,2756.00,1
30.00,47.00,-65.00,289826.00,104523.00,29107.00,24697.00,12635.00,60512.00,45515.00,29431.00,1
38.00,51.00,66.00,365723.00,66019.00,31642.00,31426.00,28890.00,36992.00,65226.00,30232.00,1
50.00,51.00,4.00,310703.00,83332.00,17165.00,7923.00,5407.00,17461.00,11076.00,10279.00,1
60.00,50.00,375.00,83010.00,80984.00,6601.00,9439.00,19459.00,39669.00,11070.00,13873.00,1
47.00,50.00,153.00,345838.00,21048.00,7091.00,1911.00,4607.00,2405.00,709.00,1460.00,1
44.00,48.00,76.00,118224.00,22904.00,4501.00,9094.00,2398.00,8130.00,6146.00,1646.00,1
50.00,43.00,-10.00,870781.00,152784.00,14913.00,16371.00,13866.00,50861.00,14881.00,21344.00,1
50.00,53.00,-10.00,133598.00,29572.00,15199.00,7189.00,10481.00,21210.00,35238.00,10663.00,1
57.00,51.00,-10.00,255333.00,25867.00,5055.00,5070.00,2495.00,7469.00,10492.00,3831.00,1
61.00,37.00,84.00,137778.00,17915.00,1096.00,950.00,5678.00,7600.00,4391.00,2100.00,1
20.00,56.00,9.00,399799.00,14845.00,12363.00,9629.00,2734.00,5844.00,21139.00,3935.00,0
29.00,64.00,35.00,493247.00,29820.00,23621.00,3176.00,3653.00,11647.00,16897.00,7009.00,0
29.00,70.00,-129.00,639083.00,101213.00,31698.00,17905.00,4102.00,17728.00,13348.00,5433.00,0
41.00,77.00,-135.00,223451.00,16512.00,1289.00,6249.00,1649.00,5080.00,13739.00,2002.00,0
40.00,78.00,54.00,505104.00,24108.00,27102.00,7914.00,1132.00,8547.00,7006.00,3311.00,0
48.00,70.00,-21.00,1628123.00,76538.00,22829.00,20251.00,26255.00,58424.00,30830.00,19891.00,0
54.00,81.00,147.00,701250.00,64411.00,83100.00,57514.00,12834.00,42206.00,32845.00,21805.00,0
47.00,81.00,-106.00,249558.00,40494.00,7142.00,8134.00,3606.00,4616.00,5411.00,2489.00,0
54.00,63.00,376.00,1352220.00,79526.00,7610.00,13202.00,14995.00,40608.00,27720.00,7154.00,0
38.00,53.00,7.00,1860820.00,1698512.00,85696.00,103417.00,174228.00,158588.00,121381.00,80743.00,0
24.00,41.00,-106.00,528085.00,551417.00,173141.00,21738.00,26967.00,37277.00,47125.00,14000.00,0
26.00,30.00,41.00,396343.00,65531.00,556.00,7656.00,3100.00,8950.00,12151.00,5585.00,0
14.00,47.00,213.00,1365966.00,38587.00,29399.00,7308.00,4035.00,7818.00,9857.00,9059.00,0
20.00,63.00,104.00,1251910.00,205310.00,55802.00,122784.00,13106.00,55226.00,60882.00,33928.00,0
34.00,64.00,-120.00,619001.00,45797.00,7330.00,19105.00,15606.00,14121.00,14175.00,4712.00,0
23.00,69.00,141.00,2307774.00,1441074.00,207229.00,180411.00,139209.00,70285.00,227196.00,112579.00,0
10.00,70.00,-114.00,379162.00,46106.00,28880.00,15032.00,3759.00,2266.00,10861.00,2061.00,0
4.00,64.00,29.00,1488533.00,799680.00,63061.00,236024.00,144480.00,110416.00,125489.00,48070.00,0
1.00,64.00,-245.00,1550187.00,631137.00,86393.00,141940.00,28952.00,44316.00,60287.00,42585.00,0
7.00,67.00,32.00,733832.00,78795.00,28715.00,13113.00,15243.00,23593.00,65829.00,10361.00,0
21.00,53.00,123.00,853689.00,712401.00,36446.00,79559.00,32963.00,102054.00,68939.00,46749.00,0
30.00,57.00,201.00,515413.00,54316.00,28845.00,21347.00,18169.00,28150.00,16664.00,4811.00,0
48.00,60.00,107.00,400203.00,58894.00,25399.00,11827.00,9643.00,23303.00,37541.00,10873.00,0
44.00,54.00,-97.00,203331.00,91294.00,18336.00,5866.00,11917.00,18197.00,16300.00,15998.00,0
43.00,43.00,161.00,333223.00,514040.00,7278.00,15077.00,8722.00,55568.00,20665.00,4915.00,0
26.00,34.00,-231.00,544942.00,817419.00,92045.00,42275.00,45809.00,48539.00,63003.00,22810.00,0
16.00,23.00,80.00,584918.00,99078.00,14850.00,5405.00,18461.00,11621.00,36364.00,3709.00,0
16.00,40.00,75.00,451680.00,171379.00,217664.00,109352.00,31427.00,79448.00,68929.00,23367.00,0
30.00,57.00,57.00,1048071.00,29503.00,11742.00,8554.00,6791.00,22018.00,15623.00,12287.00,0
41.00,63.00,101.00,1359295.00,924999.00,204673.00,126148.00,37637.00,176850.00,118111.00,17994.00,0
57.00,41.00,-162.00,67492.00,15171.00,703.00,1058.00,873.00,7738.00,6274.00,1596.00,0
47.00,47.00,-76.00,495071.00,53681.00,19179.00,14088.00,3088.00,9803.00,18691.00,12719.00,0
50.00,47.00,-65.00,176037.00,90859.00,19605.00,24195.00,11176.00,27396.00,24792.00,18808.00,0
54.00,48.00,102.00,826147.00,38021.00,9575.00,5850.00,8154.00,18066.00,17796.00,4120.00,0
40.00,63.00,59.00,803720.00,361422.00,118463.00,39955.00,34601.00,56090.00,94821.00,14926.00,0
50.00,54.00,66.00,447845.00,35897.00,7622.00,3114.00,2462.00,14089.00,20157.00,4412.00,0
70.00,41.00,3.00,192092.00,18154.00,1781.00,2633.00,2135.00,41822.00,3562.00,2715.00,0
67.00,43.00,17.00,220689.00,36018.00,4614.00,9416.00,2493.00,12820.00,17803.00,4092.00,0
75.00,47.00,-23.00,148442.00,101439.00,61063.00,27286.00,19131.00,35056.00,126838.00,25191.00,0
64.00,53.00,104.00,2044584.00,602540.00,251577.00,90005.00,7603.00,104024.00,182042.00,59728.00,0
40.00,61.00,12.00,134759.00,159911.00,22530.00,9779.00,8322.00,27560.00,10494.00,5256.00,0
44.00,61.00,72.00,1139275.00,231657.00,65519.00,38654.00,14975.00,127949.00,66756.00,27807.00,0
43.00,54.00,65.00,116640.00,45178.00,8834.00,5100.00,2858.00,11144.00,22947.00,9568.00,0
57.00,47.00,-148.00,935542.00,100940.00,24711.00,9874.00,22223.00,72209.00,32740.00,32800.00,0
66.00,48.00,0.00,897286.00,84654.00,14929.00,13807.00,6246.00,33005.00,15603.00,8772.00,0
57.00,44.00,74.00,932040.00,170143.00,6808.00,34952.00,38137.00,32849.00,57035.00,45132.00,0
61.00,40.00,57.00,1066899.00,280477.00,14027.00,36227.00,32889.00,78281.00,45137.00,16067.00,0
69.00,41.00,40.00,387475.00,29607.00,1142.00,19518.00,9389.00,60642.00,32541.00,10254.00,0
69.00,30.00,32.00,1011402.00,59810.00,1037.00,8513.00,22287.00,24843.00,74036.00,8275.00,0
88.00,35.00,119.00,5503.00,12466.00,8666.00,4982.00,14777.00,27680.00,36138.00,17259.00,0
87.00,35.00,86.00,465019.00,87776.00,9617.00,9283.00,27391.00,23706.00,42434.00,38067.00,0
91.00,34.00,-39.00,10732.00,5987.00,2158.00,16000.00,13154.00,80674.00,36437.00,18921.00,0
100.00,41.00,81.00,7354.00,11603.00,3754.00,13057.00,11025.00,56314.00,43419.00,15373.00,0
91.00,41.00,28.00,266004.00,54273.00,14478.00,9510.00,9306.00,33562.00,75492.00,15608.00,0
97.00,41.00,88.00,720780.00,32353.00,1897.00,7575.00,11410.00,27869.00,28598.00,6034.00,0
97.00,44.00,112.00,4512.00,11293.00,29048.00,13501.00,6013.00,151676.00,76699.00,11405.00,0
